//	GAMMASPHERE CONFIGURATION FILE FOR GSFMA305
//	1st column: detector number
//	2nd column: ring
//	3rd column: theta
//	4th column: phi
//	5th column: side channel gain, calibrating to keV (2.5 by default)
//	6th column: side channel offset, calibrating to keV (0.0 default)
//	7th column: side chan threshhold (kev). Use 4000 for dets w/o side chan
//	8th column: time positions 1 (divided by 2)
//	9th column: time positions 2 (divided by 2)
//
//	First 20 lines reserved for comments.
//	Do not change this!
//
//	(Extra comments can be added here.)
//
//
//
//
//
 61  10     99.29       144.0	 0.000	     	 0.000      4000.00	2000.0000	2359.0000
 62   9     90.00       342.0	 2.46972696	13.991       105.37	2001.0000	2369.0000
 63  11    100.81        36.0	 2.49948930	-1.827        88.15	2001.5000	2362.0000
 64  10     99.29       216.0	 0.000	     	 0.000      4000.00	2001.0000	2367.0000
 65  11    100.81       108.0	 2.49472898	 1.285        81.12	2002.0000	2372.0000
 66  10     99.29       288.0	 2.51237479	-2.704       112.86	2002.0000	2370.0000
 67  11    100.81       180.0	 2.50188471	-1.163       118.93	2000.0000	2367.0000
 68  10     99.29       360.0	 2.50006028	 0.171        90.17	2001.0000	2370.0000
 69  12    110.18        17.5	 2.51600365	-5.092        85.48	2000.0000	2365.0000
 70  11    100.81       252.0	 2.50672451	-2.257       108.04	2000.0000	2366.0000
 71  12    110.18        54.5	 0.000	     	 0.000      4000.00	2002.0000	2363.0000
 72  11    100.81       324.0	 2.49389979	-1.849        95.41	2001.0000	2370.0000
 73  12    110.18        89.5	 2.49586642	-1.331        46.09	2001.0000	2373.0000
 74  12    110.18       198.5	 0.000	     	 0.000      4000.00	2001.0000	2368.0000
 75  12    110.18       126.5	 2.48789477	-2.818        89.23	2001.0000	2377.0000
 76  12    110.18       233.5	 2.49190784	 3.588        93.30	2001.0000	2367.0000
 77  12    110.18       161.5	 2.50154365	-2.215        82.84	2001.0000	2373.0000
 78  12    110.18       270.5	 0.000	     	 0.000      4000.00	2003.0000	2366.0000
 79  13    121.72        36.0	 0.000	     	 0.000      4000.00	2002.0000	2371.0000
 80  12    110.18       305.5	 2.48695619	 4.737       104.22	2002.0000	2362.0000
